,stim_id,Label,Type,Text,Hummingbird scores,Captum Converted,Judgment,Confidence,gpt2 ppl,gpt3 ppl
10,11,Negative Sentiment,Tweet,"I finally left the dark room I've been crying in & instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed",0.0 -0.3333 -0.3333 0.0 -0.6667 -0.6667 0.0 0.0 -0.6667 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -0.3333 -1.0 -1.0 0.0,-0.02 0.0 0.01 0.0 -0.02 0.0 0.0 0.0 -0.01 0.01 0.01 0.0 0.02 -0.01 0.0 -0.01 0.0 -0.01 0.01 0.0 0.0 0.01 -0.01 -0.02 0.020000000000000004 0.6399999999999999,Positive,0.71,nan 7.508814811706543 5.697488307952881 1.2754102945327759 6.506410121917725 3.446683406829834 10.359322547912598 0.2909652888774872 7.185656547546387 1.8635978698730469 8.325767517089844 7.125650882720947 2.0529541969299316 3.5761499404907227 3.753068208694458 5.610709190368652 4.2066192626953125 0.2376062124967575 12.33668041229248 1.7539716362953186 0.37423744797706604 1.9932169914245605 12.412500381469727 10.4839448928833 1.8057223558425903 10.287009701132774,0 0.0003315668863210407 0.0019220378031019813 0.2814668219451371 0.0011703711011423674 0.03024825445914905 0.04030750556304931 0.8964008041207899 0.0004600478739923652 0.8717493491746867 0.0013235490184469608 0.0002946966605435392 0.530591583306727 0.008430425784495833 0.010069502274875092 0.05949022295598817 0.02144309922117288 0.900245630605054 5.155780734869477e-06 1.282501911349041 0.8732370544224871 0.04039498238982238 9.59046284435274e-07 0.003549958023254762 1.3354245022434426 1.8794999856867287
11,12,Negative Sentiment,Movie review,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum, not even Ms. Redgrave's noblest efforts can redeem it from hopeless sentimentality.",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.6667 -0.6667 -0.3333 -0.3333 -0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 0.0,-0.27 0.11 -0.25 0.09 0.13 0.01 -0.07 0.1 -0.08 0.04 0.16 0.05 -0.1 0.03 -0.095 -0.15 0.13 -0.195 0.09 -0.14 0.024999999999999998 -0.07 0.09 0.17500000000000002 -0.11 -0.12 -0.25333333333333335,Negative,0,nan 7.2497100830078125 11.854870796203613 3.830200880765915 7.26793098449707 10.044618606567383 4.825652122497559 1.8531591892242432 1.059981107711792 1.32167387008667 10.43846321105957 17.401182889938354 0.5634317994117737 6.495546340942383 9.781465731561184 5.415356159210205 3.1776373386383057 9.162630464881659 13.24312174320221 7.9503889083862305 8.307252730475739 1.137668490409851 4.539521217346191 0.44465476274490356 3.675534725189209 8.905009269714355 7.941850593313575,0 0.0002976625784680758 0.8090054862947994 0.00542756760651075 0.04305302428729048 0.0031823587877558494 0.01033397777280047 0.11528197445099997 0.6464822931054406 0.5858309220280418 0.9733124844994306 6.4966233542679415e-06 0.6930735379874994 0.001909452742939651 2.5808120725148074 0.001176342065237626 0.3310337980186999 0.9948240455408823 1.3719410703387829 0.8043797623628048 0.6585862084280654 0.775307355893071 0.01841907254236446 0.7567230382953349 0.05658990876724335 0.0004154584286741464 1.2916234206503825
12,13,Negative Sentiment,Tweet,"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.6667 -0.3333 -0.3333 0.0 -1.0 0.0 -0.3333 -0.6667 0.0 -0.3333 -0.3333 0.0 -0.6667 0.0 -0.3333 0.0,0.09 0.15 -0.07 0.07 -0.1 -0.03 0.05 -0.02 -0.01 0.03 0.03 -0.08 -0.04 -0.045000000000000005 -0.69 0.13 -0.025 -0.58 0.14 0.01 -0.04 -0.02 -0.26 0.02 0.02 0.03,Negative,0,nan 12.229353904724121 3.26054310798645 2.027086019515991 7.680986404418945 2.873020648956299 3.9404594898223877 0.5601270794868469 1.96724271774292 4.610251069068909 7.807013511657715 11.479516983032227 7.259500980377197 9.363885164260864 4.822415828704834 2.7186686992645264 7.241150617599487 3.003693103790283 0.9176932573318481 6.679368495941162 0.9718054533004761 1.6193625926971436 6.907156944274902 1.9527788162231445 2.2047133445739746 3.415398359298706,0.023196443719784344 3.528029377163321e-05 0.035370554456144884 0.19327829223101828 0.0010161283592106884 0.6199343460610663 0.010465909689611825 0.8176362855110941 0.6773909896905257 0.5498272494486331 0.0004149305919642686 2.2987754266784627e-06 0.00895342892460078 0.4076365361042894 0.035028757920320244 0.5091843027765485 0.6538563711824971 0.012109609112670195 0.5881697572170763 0.001993672228182688 0.6419621586128627 0.17120019093510008 0.002662640445111869 0.59510444561078 0.5691366986708221 0.671914606630515
13,14,Negative Sentiment,Movie review,"Designed to provide a mix of smiles and tears, ""Crossroads'' instead provokes a handful of unintentional howlers and numerous yawns.",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 -0.3333 0.0 0.0 -0.3333,-0.17 -0.05 0.09 -0.03 0.05 -0.1 0.05 -0.1 -0.14 -0.16 -0.3 -0.05 0.02 0.04 -0.26 -0.15 -0.32 -0.44999999999999996 -0.05 -0.09,Negative,0,nan 3.0271717309951782 3.3758275508880615 1.313116192817688 7.757640361785889 0.148526132106781 10.693389892578125 0.40205061435699463 4.814403831958771 24.812425136566162 9.86255168914795 8.569035530090332 1.5092284698039293 7.985379219055176 0.012447173707187176 9.515320777893066 9.334686279296875 5.04231595993042 7.807862758636475 6.855436192825437,0.33542704653589417 0.26252622425933536 0.05422993590718265 0.19748974895763402 0.0002518847289260905 0.972086637756024 8.586511639201794e-06 0.5066913387977137 0.7100196296519236 0.4169282137645405 0.0004220691478022956 0.9210097970966674 0.2021952427743872 0.0013561163355032021 0.9841317781621426 0.0027061860418210047 0.14999197956000407 0.1281020201631064 0.0033944433266566263 1.816880366588288
14,15,Negative Sentiment,Tweet,"It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland",.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.6667 -0.3333 0.0 0.0 0.0 0.0 0.0,0.013333333333333334 -0.2 0.07 -0.15 -0.02 -0.17 -0.060000000000000005 0.006666666666666664 0.14 -0.024 -0.41000000000000003 0.12000000000000001 -0.05 0.05 -0.010000000000000002 0.16,Negative,0,nan 9.892952919006348 5.368495583534241 0.7575213313102722 1.6820125579833984 4.358404636383057 5.260232925415039 4.791326105594635 6.521729469299316 28.46631693840027 6.876441478729248 5.2712218221277 1.955106496810913 0.297055184841156 0.7103601167909801 16.612105056643486,0.1869855196785218 0.06470934248470223 0.08027412011107378 0.8738099111019516 0.26274883581646796 0.02020895006859462 0.16810144576329933 0.7025046468747045 0.002830833748326863 1.2801259426071707 2.602715504488663 0.519176539747146 0.5096757549815936 0.9551180839786743 1.6013925456842473 1.9606225012399552
15,16,Negative Sentiment,Movie review,"With virtually no interesting elements for an audience to focus on, Chelsea Walls is a triple-espresso endurance challenge.",0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -0.6667,-0.08 0.12 0.14 0.05 -0.05 0.01 0.02 -0.08 0.07 -0.13 -0.115 0.5 0.41 -0.2 -0.07 -0.06 -0.24333333333333332 -0.030000000000000002,Negative,0,nan 9.325630187988281 0.4444068968296051 10.12243366241455 6.271765232086182 5.026329040527344 4.554056167602539 3.489948034286499 1.1344571113586426 4.875970363616943 0.3850010335445404 10.792695045471191 11.770968437194824 1.292969822883606 0.9954972863197327 22.40693962574005 9.18217819929123 4.627002000808716,0 5.8024919101820346e-05 0.15243693644051856 6.230960317430498e-05 0.0038339410885838013 0.011072928759494428 0.011268801509716486 0.13867733156803863 0.6524209020795266 0.01672223011727727 1.6863592701291399 1.0423277830926283e-05 0.001575855940557719 0.43274656178280635 0.4167841821328715 1.5713281683250622 0.001121856922574583 0.2621744827984816
16,17,Negative Sentiment,Tweet,"To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost",0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -0.3333,-0.06 -0.13 -0.01 0.02 -0.09 0.15 0.02 -0.04 0.01 -0.08 0.030000000000000002 -0.06 -0.34 0.08 -0.01 -0.33999999999999997 -0.94,Negative,0,nan 23.12749619781971 7.773623466491699 2.7641873359680176 1.7208764553070068 6.012925148010254 2.8185951709747314 5.110410213470459 3.6466009616851807 6.9037322998046875 9.0278799533844 5.930568695068359 1.3156522512435913 0.40241603553295135 1.0464551448822021 4.741931915283203 11.406909942626953,0 0.47743138469095936 0.005677876339794854 0.06977712813923513 0.2866780700355745 0.0687414784456041 0.6748630146258604 0.013341395950552568 0.18213747862473842 0.0020137464225221118 0.4358810433232566 0.005489511540530271 0.6806943764393966 1.7486488275160688 0.7074058730082688 0.9116718225561555 0.07485800770994519
17,19,Negative Sentiment,Movie review,"Partway through watching this saccharine, Easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected TV show.",0.0 0.0 0.0 0.0 -0.3333 0.0 -0.3333 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 0.0 0.0,-0.03 0.13 0.0 0.0 0.06999999999999999 -0.019999999999999997 -0.010000000000000002 -0.04 0.03 -0.13 -0.02 -0.14 -0.03 -0.04 -0.15 0.03 -0.04 -0.01 0.18 -0.91 0.03 -0.22999999999999998,Negative,0,nan 6.546239227056503 7.32131290435791 2.2513256072998047 16.1859719902277 22.523517698049545 8.085918985976605 2.166084051132202 2.090649366378784 0.9629758596420288 1.4624098539352417 2.4046294689178467 5.5614094734191895 2.546112060546875 0.13916455209255219 3.747666835784912 7.1253204345703125 1.2519780397415161 2.072953939437866 11.349838256835938 2.3704161643981934 2.56390118598938,4.14234256583614e-05 0.6224105971460292 0.0009516211062800178 0.1202726776801489 2.1690656024299466 1.4280863699266928 1.63109729036211 0.09444435064547936 0.13963455369172648 0.5470288914213712 0.10622134517731069 0.07705367669921398 0.002093888113311033 0.0917937744595588 0.6609894829988955 0.016786588751099386 0.0074474171349349985 0.6109947758565748 0.2854303892801095 0.0005986903730011387 0.2479553473590127 0.5435781580657744
18,20,Negative Sentiment,Movie review,Here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep.,0.0 0.0 0.0 0.0 -0.3333 0.0 -1.0 0.0 0.0 0.0 0.0 -0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-0.16 0.15 -0.16 -0.04 -0.17 0.03 0.04 -0.05 -0.04 -0.03 0.03 -0.05 -0.019999999999999997 -0.19 -0.05 -0.16 -0.01 -0.33 -0.72,Negative,0,nan 7.731428146362305 0.06005820259451866 10.758838653564453 7.6895036697387695 7.000480651855469 8.919472694396973 5.981760025024414 2.2953414916992188 8.502594947814941 2.1285083293914795 11.374570846557617 16.345766067504883 0.8108268976211548 3.731959819793701 8.28044319152832 2.9894161224365234 3.1615242958068848 1.4065624475479126,0.05917523809594914 0.000521657977680688 0.957535353398078 3.509082000565453e-05 2.8066271641893717e-05 0.004048547921722689 0.05233953713990736 0.23088736148525033 0.4133691456924999 0.00031854143411510756 0.3205912281214281 1.5464416127183372e-06 2.2277846271845646e-07 0.17331944227627677 0.011201588280235137 2.616484086861968e-05 0.3315804878111786 0.12455461307789757 1.6018591142853484
19,21,Negative Sentiment,Tweet,@Rainbow6Game felt guilt from playing this game. #horrible #RainbowSixSiege,0.0 -0.3333 -1.0 0.0 0.0 0.0 0.0 -1.0 0.0,-0.03 0.17000000000000004 -0.43 -0.12 -0.04 -0.14 -0.25 -0.74 -0.04999999999999996,Negative,0,nan 14.032965660095215 10.937923431396484 5.845673561096191 3.750166654586792 3.439804792404175 2.5187122225761414 17.063156127929688 18.9749733582139,0.8331781102687545 5.245877646448641e-06 4.696608056022406e-06 0.02318770262750867 0.0129054225916172 0.04001604020997271 0.8037001361809561 0.3786581063309264 3.7020267220640255
20,22,Negative Sentiment,Movie review,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes.,0.0 -0.6667 0.0 0.0 0.0 -0.6667 -0.3333 0.0 0.0 -0.3333 -0.3333 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.07 -0.83 0.12 -0.14 -0.03 0.05 0.07 -0.02 -0.02 0.01 -0.18 0.020000000000000004 0.09 -0.39 0.0 -0.01 -0.07 -0.15 -0.05 -0.12 -0.05 -0.06 -0.08 -0.02 -0.03 -0.03 -0.02 -0.19,Negative,0,nan 10.707646369934082 9.783672332763672 2.078920364379883 1.4825878143310547 12.560866340994835 11.770610809326172 12.136173248291016 5.10581111907959 4.319609642028809 1.642403483390808 1.3750304747372866 3.5088233947753906 3.3043713569641113 0.02937936596572399 6.2339982986450195 4.617107391357422 2.3682594299316406 1.6842652559280396 7.486289024353027 10.180550575256348 0.4886116683483124 9.380016326904297 4.371493339538574 4.7656989097595215 12.339170455932617 1.321338176727295 3.663265211507678,0 1.2586063758994629e-06 6.647663669016754e-05 0.09304623116925234 0.22936276550354706 0.742450261559949 0.00016953248459129918 2.4301343842024447e-06 0.004187494480170749 0.021289090938042564 1.3296431506202104 0.8714390442120575 0.17142743867711827 0.012623981251841608 0.9563535089938263 0.00037016748225500505 0.12407906445445394 0.1155402875365545 0.18255185670367582 0.0009251354488339577 4.852914561489409e-05 0.8394573733412302 4.173526930269968e-05 0.0052328877616849515 0.0294660271882016 0.0002684311772400629 0.07087412235564688 1.4204343266524921
