stim_id,text,style,hummingbird annotations,captum scores,surprisal,Dwell Time z_score,Dwell Time pred,Dwell Time raw,Reread Time z_score,Reread Time raw,Go Past Time z_score,Go Past Time raw,First Run Dwell z_score,First Run Dwell raw,First Run Dwell pred,First Fixation Duration z_score,First Fixation Duration raw,Pupil Size z_score,Pupil Size raw,Pupil Size pred
11,"I finally left the dark room I've been crying in & instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed",Negative,"['left', 'the dark', ""room I've"", 'been crying in', 'I got 6000', 'mosquito', 'bites.']",['bites.'],"['left', ""room I've"", '& instead of', 'my translucent', 'mosquito']",[],[],"['I finally', 'the dark', ""room I've"", 'been crying in', '& instead of', 'getting', 'my translucent', 'skin,', 'I got 6000', 'mosquito', 'bites.']","['I finally', 'left', ""room I've"", 'getting', 'my translucent', 'skin,', 'I got 6000', 'mosquito', 'bites.']","['I finally', 'left', 'the dark', ""room I've"", '& instead of', 'getting', 'my translucent', 'skin,', 'I got 6000']","['the dark', 'been crying in', '& instead of', 'some sun on']","['I finally', 'left', 'the dark', '& instead of', 'my translucent', 'skin,']","['left', 'some sun on']","['I finally', 'left', 'been crying in', '& instead of', 'some sun on']",[],"['I finally', 'left', ""room I've"", 'been crying in', 'getting', 'skin,', 'I got 6000', 'mosquito', 'bites.']","['I finally', 'left', 'been crying in']","['I finally', 'left', 'been crying in', '& instead of', 'getting', 'some sun on', 'my translucent', 'skin,', 'I got 6000', 'mosquito', 'bites.']","['I finally', 'left', 'the dark', ""room I've"", 'been crying in', '& instead of', 'getting', 'some sun on', 'my translucent', 'skin,', 'I got 6000', 'mosquito', 'bites.']",[]
12,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum, not even Ms. Redgrave's noblest efforts can redeem it from hopeless sentimentality.",Negative,"['be a sudsy', 'tub of', 'supernatural', 'hokum,', 'from hopeless']","['A', 'of', 'Angels', 'itself to', 'be a sudsy', 'supernatural', ""Redgrave's"", 'efforts', 'can redeem it']","['A', 'Rumor', 'Angels', 'reveals', 'tub of', 'supernatural', 'hokum,', 'Ms.', ""Redgrave's"", 'noblest', 'efforts', 'from hopeless', 'sentimentality.']","['A', 'Rumor', 'of', 'Angels', 'reveals', 'itself to', 'be a sudsy', 'tub of', 'supernatural', 'Ms.', ""Redgrave's"", 'noblest', 'efforts', 'from hopeless', 'sentimentality.']",[],"['A', 'itself to', 'be a sudsy', 'tub of', 'hokum,', 'noblest', 'sentimentality.']","['As', 'A', 'Rumor', 'of', 'Angels', 'reveals', 'itself to', 'tub of', 'supernatural', 'not even', 'Ms.', ""Redgrave's"", 'efforts', 'sentimentality.']","['As', 'A', 'Rumor', 'of', 'itself to', 'tub of', 'hokum,', 'Ms.', 'efforts', 'can redeem it']","['be a sudsy', 'hokum,', 'noblest', 'can redeem it', 'from hopeless']","['As', 'A', 'Rumor', 'of', 'be a sudsy', 'tub of', 'hokum,', 'Ms.', 'noblest', 'can redeem it']","['As', 'A', 'of', 'Ms.', 'noblest', 'can redeem it', 'sentimentality.']","['As', 'A', 'Rumor', 'of', 'reveals', 'be a sudsy', 'tub of', 'not even', 'Ms.', 'noblest', 'can redeem it', 'sentimentality.']",[],"['As', 'A', 'Rumor', 'of', 'Angels', 'reveals', 'itself to', 'tub of', 'supernatural', 'not even', 'Ms.', 'noblest', 'efforts', 'from hopeless', 'sentimentality.']","['As', 'A', 'Rumor', 'of', 'reveals', 'itself to', 'tub of', 'hokum,', 'not even', 'Ms.', 'noblest', 'from hopeless']","['As', 'A', 'Rumor', 'Angels', 'reveals', 'itself to', 'hokum,', 'Ms.', ""Redgrave's"", 'noblest', 'efforts', 'can redeem it', 'from hopeless', 'sentimentality.']","['As', 'A', 'Rumor', 'of', 'Angels', 'reveals', 'itself to', 'be a sudsy', 'tub of', 'supernatural', 'hokum,', 'not even', 'Ms.', ""Redgrave's"", 'noblest', 'efforts', 'can redeem it', 'from hopeless', 'sentimentality.']",[]
13,"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open",Negative,"[""I've thrown"", 'boiling', 'tea', 'smashed', 'smashed', 'a milk', 'sliced', 'my finger']","['Been at work for', ""I've thrown"", 'a mug,', 'my finger']","[""I've thrown"", 'boiling', 'tea', 'everywhere,']",['a milk'],[],"['Been at work for', 'not even 4', 'tea', 'a mug,']","['not even 4', 'hours and', ""I've thrown"", 'boiling', 'tea', 'smashed', 'a mug,', 'smashed', 'a milk', 'jug and', 'sliced']","['Been at work for', 'hours and', ""I've thrown"", 'tea', 'smashed', 'a mug,']","['Been at work for', 'everywhere,', 'my finger']","['Been at work for', 'hours and', ""I've thrown"", 'tea', 'a mug,']","['Been at work for', 'hours and', 'everywhere,', 'smashed', 'a milk', 'my finger']","['Been at work for', 'hours and', 'everywhere,', 'a milk']",[],"['Been at work for', 'not even 4', 'hours and', ""I've thrown"", 'boiling', 'tea', 'everywhere,', 'smashed', 'smashed', 'jug and', 'sliced']","['not even 4', 'hours and', 'boiling', 'everywhere,', 'smashed', 'smashed', 'my finger']","['smashed', 'sliced', 'my finger']",[],[]
14,"Designed to provide a mix of smiles and tears, ""Crossroads'' instead provokes a handful of unintentional howlers and numerous yawns.",Negative,"['howlers', 'yawns.']","['to provide', 'smiles']","['smiles', '""""""Crossroads\'\'""', 'instead', 'unintentional', 'howlers', 'and numerous', 'yawns.']","['Designed', 'instead', 'handful of', 'and numerous', 'yawns.']",[],"['to provide', 'smiles', 'and tears,', '""""""Crossroads\'\'""']","['Designed', 'to provide', 'a mix of', '""""""Crossroads\'\'""', 'instead', 'provokes a', 'handful of', 'unintentional', 'and numerous', 'yawns.']","['Designed', 'to provide', 'and tears,', '""""""Crossroads\'\'""', 'instead', 'unintentional']","['smiles', 'and tears,', 'howlers']","['and tears,', '""""""Crossroads\'\'""', 'instead']","['and tears,', 'instead', 'provokes a']","['and tears,', 'instead', 'provokes a']",[],"['Designed', 'a mix of', 'instead', 'provokes a', 'handful of', 'unintentional', 'and numerous', 'yawns.']","['instead', 'provokes a', 'howlers']","['instead', 'yawns.']",[],[]
15,"It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,"With virtually no interesting elements for an audience to focus on, Chelsea Walls is a triple-espresso endurance challenge.",Negative,"['endurance', 'challenge.']","['With virtually', 'no interesting', 'Chelsea', 'Walls']","['elements for', 'Chelsea', 'Walls', 'is a triple-espresso', 'endurance']","['focus on', 'Chelsea', 'is a triple-espresso', 'endurance', 'challenge.']",[],"['no interesting', 'is a triple-espresso', 'endurance', 'challenge.']","['focus on', 'Chelsea', 'is a triple-espresso', 'endurance']","['With virtually', 'no interesting', 'elements for', 'focus on', 'challenge.']","['With virtually', 'no interesting', 'elements for', 'an audience to', 'Walls', 'challenge.']","['no interesting', 'elements for', 'focus on', 'challenge.']","['elements for', 'focus on', 'Chelsea', 'Walls']","['elements for', 'an audience to', 'focus on', 'Chelsea', 'Walls', 'challenge.']",[],"['With virtually', 'no interesting', 'elements for', 'an audience to', 'focus on', 'Chelsea', 'endurance']","['With virtually', 'no interesting', 'elements for', 'an audience to', 'focus on', 'Chelsea', 'endurance']","['focus on', 'is a triple-espresso', 'endurance', 'challenge.']",[],[]
17,"To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
19,"Partway through watching this saccharine, Easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected TV show.",Negative,"['saccharine,', 'concoction,', 'a rejected']","['Partway through', 'saccharine,', 'TV']","['saccharine,', 'Easter-egg-colored', 'concoction,', 'a rejected']","['Partway through', 'watching this', 'saccharine,', 'Easter-egg-colored', 'concoction,', 'you realize that', 'episodes of', 'TV', 'show.']",[],"['Partway through', 'watching this', 'saccharine,', 'Easter-egg-colored', 'you realize that', 'it is made up', 'of three', 'episodes of', 'a rejected', 'TV', 'show.']","['Partway through', 'watching this', 'saccharine,', 'Easter-egg-colored', 'concoction,', 'you realize that', 'it is made up', 'episodes of', 'a rejected', 'show.']","['Partway through', 'watching this', 'saccharine,', 'you realize that', 'it is made up', 'of three', 'episodes of', 'a rejected', 'show.']","['of three', 'TV']","['watching this', 'saccharine,', 'you realize that', 'it is made up', 'of three', 'episodes of', 'a rejected', 'show.']","['watching this', 'saccharine,', 'it is made up', 'of three', 'episodes of', 'a rejected', 'TV', 'show.']","['saccharine,', 'it is made up', 'of three', 'a rejected', 'TV', 'show.']",[],"['Partway through', 'saccharine,', 'concoction,', 'you realize that', 'it is made up', 'TV', 'show.']","['Partway through', 'watching this', 'saccharine,', 'it is made up', 'episodes of', 'a rejected', 'TV', 'show.']","['Partway through', 'watching this', 'saccharine,', 'concoction,', 'you realize that', 'TV']","['Partway through', 'watching this', 'saccharine,', 'concoction,', 'you realize that', 'it is made up', 'a rejected', 'TV', 'show.']",[]
20,Here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep.,Negative,"['horror', 'mucking up its', 'with glitches']","['yet', 'franchise']","['yet', 'studio', 'horror', 'franchise', 'mucking up its', 'storyline', 'with glitches', 'casual', 'correct in']","['yet', 'casual', 'could', 'correct in', 'their sleep.']",[],"[""Here's"", 'yet', 'studio', 'horror', 'franchise', 'mucking up its', 'storyline', 'with glitches', 'casual', 'fans', 'could']","[""Here's"", 'yet', 'another', 'franchise', 'mucking up its', 'storyline', 'casual', 'could', 'correct in', 'their sleep.']","[""Here's"", 'another', 'franchise', 'mucking up its', 'storyline', 'casual', 'fans', 'could', 'correct in', 'their sleep.']","['studio', 'horror', 'with glitches', 'fans']","['another', 'studio', 'horror', 'franchise', 'mucking up its', 'storyline', 'casual', 'fans', 'could', 'their sleep.']","['yet', 'studio', 'horror', 'mucking up its', 'fans', 'could']","['yet', 'studio', 'horror', 'mucking up its', 'could']",[],"[""Here's"", 'yet', 'another', 'horror', 'with glitches', 'could']","['yet', 'horror', 'with glitches', 'could']",['yet'],"[""Here's"", 'could']",[]
21,@Rainbow6Game felt guilt from playing this game. #horrible #RainbowSixSiege,Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes.,Negative,"['. . . a nightmare', 'a half-formed', 'wit', 'great']",['wit'],"['date with', 'a half-formed', 'wit', 'done a', 'critical', 'liberal', 'bumper']","['wit', 'a sad', 'bumper', 'sticker', 'platitudes.']",[],"['disservice by', 'a sad', 'arts', 'bumper']","['date with', 'a half-formed', 'wit', 'done a', 'great', 'disservice by', 'critical', 'distance and', 'a sad', 'trust in', 'liberal', 'arts', 'college', 'bumper', 'sticker', 'platitudes.']","['. . . a nightmare', 'a half-formed', 'wit', 'done a', 'great', 'critical', 'a sad', 'trust in', 'college']","['. . . a nightmare', 'a lack of']","['. . . a nightmare', 'wit', 'critical', 'a sad', 'college']","['. . . a nightmare', 'wit', 'critical', 'a sad', 'liberal', 'arts', 'college']","['. . . a nightmare', 'wit', 'critical', 'a sad', 'liberal', 'college']",[],"['. . . a nightmare', 'date with', 'a half-formed', 'wit', 'disservice by', 'a lack of', 'critical', 'distance and', 'a sad', 'trust in', 'liberal', 'arts', 'college', 'bumper', 'sticker', 'platitudes.']","['. . . a nightmare', 'a half-formed', 'wit', 'a lack of', 'critical', 'a sad', 'liberal', 'college', 'platitudes.']","['. . . a nightmare', 'date with', 'a half-formed', 'wit', 'done a', 'great', 'disservice by', 'a lack of', 'critical', 'distance and', 'a sad', 'trust in', 'liberal', 'arts', 'college', 'bumper', 'sticker', 'platitudes.']","['. . . a nightmare', 'date with', 'a half-formed', 'wit', 'done a', 'great', 'disservice by', 'a lack of', 'critical', 'distance and', 'a sad', 'trust in', 'liberal', 'arts', 'college', 'bumper', 'sticker', 'platitudes.']",[]
23,@mashable For some reason this has filled me with delight. See Auntie laugh.,Positive,"['me with delight.', 'Auntie', 'laugh.']","['this has filled', 'me with delight.']","['For some reason', 'See', 'Auntie', 'laugh.']","['@mashable', 'See', 'Auntie', 'laugh.']",[],"['this has filled', 'me with delight.', 'See', 'laugh.']","['@mashable', 'For some reason', 'me with delight.', 'See']","['@mashable', 'For some reason', 'me with delight.', 'See']","['this has filled', 'Auntie', 'laugh.']","['@mashable', 'For some reason', 'this has filled', 'me with delight.']","['@mashable', 'this has filled', 'me with delight.']","['@mashable', 'this has filled', 'me with delight.']",[],"['this has filled', 'me with delight.', 'See', 'Auntie']","['this has filled', 'me with delight.', 'See', 'Auntie']","['@mashable', 'For some reason', 'this has filled', 'me with delight.', 'See', 'Auntie', 'laugh.']",[],[]
24,Omgsh Alexis is sooooo freaking funny on #BachelorInParadise  That pizza segment! Plus I love her and Jazzy's friendship!,Positive,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
25,@rickysnecklace I'm so proud Mils! Keep smiling,Positive,"[""I'm so proud"", 'Mils!', 'smiling']","['@rickysnecklace', ""I'm so proud"", 'Mils!', 'Keep']","[""I'm so proud"", 'Mils!', 'smiling']","['@rickysnecklace', ""I'm so proud"", 'smiling']",[],"['@rickysnecklace', ""I'm so proud"", 'Keep', 'smiling']","['@rickysnecklace', ""I'm so proud"", 'Mils!', 'smiling']","['@rickysnecklace', ""I'm so proud"", 'Mils!']",['Keep'],"[""I'm so proud"", 'Mils!', 'Keep']","[""I'm so proud"", 'Keep', 'smiling']","[""I'm so proud"", 'Keep', 'smiling']",[],"['@rickysnecklace', ""I'm so proud"", 'Mils!', 'Keep']","[""I'm so proud"", 'Keep']","['@rickysnecklace', ""I'm so proud"", 'Mils!', 'Keep', 'smiling']","['@rickysnecklace', ""I'm so proud"", 'Mils!', 'Keep']",[]
26,Candid and comfortable; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work.,Positive,"['Candid and', 'comfortable;', 'that deftly', 'balances', 'the passion']","['comfortable;', 'a film', 'that deftly', 'balances', 'others']","['comfortable;', 'a film', 'action', 'others']","['Candid and', 'comfortable;', 'a film', 'that deftly', 'balances', 'action', 'and reflection', 'as it lets', 'others', 'have for their work.']",[],"['Candid and', 'comfortable;', 'a film', 'that deftly', 'balances', 'and reflection', 'as it lets', 'you grasp', 'and feel', 'others', 'have for their work.']","['Candid and', 'comfortable;', 'and reflection', 'you grasp', 'others', 'have for their work.']","['Candid and', 'comfortable;', 'a film', 'and feel', 'the passion', 'have for their work.']","['a film', 'that deftly', 'balances', 'action', 'as it lets', 'and feel', 'the passion']","['comfortable;', 'a film', 'and feel', 'the passion', 'have for their work.']","['that deftly', 'as it lets', 'you grasp', 'others', 'have for their work.']","['a film', 'that deftly', 'balances', 'action', 'and reflection', 'as it lets', 'you grasp', 'the passion', 'others', 'have for their work.']",[],"['Candid and', 'comfortable;', 'action', 'as it lets', 'the passion']","['that deftly', 'action', 'as it lets', 'you grasp', 'others']","['and feel', 'the passion', 'others', 'have for their work.']","['Candid and', 'action', 'the passion', 'others']",[]
27,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,Positive,['perfectly the'],"['Few films', 'hopes and', 'dreams of', 'the grown', 'the stands.']","['capture so', 'little', 'baseball']","['Few films', 'perfectly the', 'sit in', 'the stands.']",[],"['Few films', 'capture so', 'perfectly the', 'hopes and', 'dreams of', 'little', 'boys on', 'fields', 'as well as', 'the grown', 'men who', 'sit in', 'the stands.']","['capture so', 'perfectly the', 'hopes and', 'dreams of', 'little', 'boys on', 'the grown', 'sit in', 'the stands.']","['Few films', 'capture so', 'hopes and', 'dreams of', 'little', 'men who', 'sit in', 'the stands.']","['Few films', 'baseball', 'fields', 'as well as', 'men who']","['Few films', 'capture so', 'perfectly the', 'hopes and', 'dreams of', 'fields', 'as well as', 'men who', 'sit in', 'the stands.']","['Few films', 'hopes and', 'dreams of', 'boys on', 'fields', 'as well as', 'the grown', 'men who', 'sit in']","['Few films', 'capture so', 'perfectly the', 'hopes and', 'dreams of', 'boys on', 'fields', 'as well as', 'the grown', 'men who', 'sit in', 'the stands.']",[],"['capture so', 'hopes and', 'baseball', 'fields', 'as well as', 'the grown', 'men who', 'the stands.']","['perfectly the', 'hopes and', 'boys on', 'baseball', 'fields', 'as well as', 'the grown', 'men who', 'sit in']","['capture so', 'perfectly the', 'hopes and', 'dreams of', 'little', 'boys on', 'fields', 'men who', 'sit in', 'the stands.']","['Few films', 'capture so', 'perfectly the', 'hopes and', 'dreams of', 'boys on', 'men who', 'sit in', 'the stands.']",[]
